Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,edu_level,not_live_alone,age,num_child,has_child,num_family_member,single_parent,total_spent,PrWines,PrFruits,PrMeatProducts,PrFishProducts,PrSweetProducts,PrGoldProds,label
58138.0,58,635,88,546,172,88,88,3,8,10,4,7,2,0,65,0,0,0,0,1617,0.3927025355596784,0.0544217687074829,0.3376623376623376,0.1063698206555349,0.0544217687074829,0.0544217687074829,C
46344.0,38,11,1,6,2,1,6,2,1,1,2,5,2,0,68,2,1,2,1,27,0.4074074074074074,0.037037037037037,0.2222222222222222,0.074074074074074,0.037037037037037,0.2222222222222222,B
71613.0,26,426,49,127,111,21,42,1,8,2,10,4,2,1,57,0,0,1,0,776,0.5489690721649485,0.0631443298969072,0.163659793814433,0.143041237113402,0.027061855670103,0.0541237113402061,C
26646.0,26,11,4,20,10,3,5,2,2,0,4,6,2,1,38,1,1,2,0,53,0.2075471698113207,0.0754716981132075,0.3773584905660377,0.1886792452830188,0.0566037735849056,0.0943396226415094,D
58293.0,94,173,43,118,46,27,15,5,5,3,6,5,3,1,41,1,1,2,0,422,0.4099526066350711,0.1018957345971564,0.2796208530805687,0.1090047393364928,0.0639810426540284,0.0355450236966824,A
62513.0,16,520,42,98,0,42,14,2,6,4,10,6,3,1,55,1,1,2,0,716,0.7262569832402235,0.0586592178770949,0.1368715083798882,0.0,0.0586592178770949,0.0195530726256983,A
55635.0,34,235,65,164,50,49,27,4,7,3,7,6,2,0,51,1,1,1,1,590,0.3983050847457627,0.1101694915254237,0.2779661016949152,0.0847457627118644,0.0830508474576271,0.0457627118644067,B
33454.0,32,76,10,56,3,1,23,2,4,0,4,8,3,1,37,1,1,2,0,169,0.4497041420118343,0.059171597633136,0.3313609467455621,0.0177514792899408,0.0059171597633136,0.136094674556213,A
30351.0,19,14,0,24,3,3,2,1,3,0,2,9,3,1,48,1,1,2,0,46,0.3043478260869565,0.0,0.5217391304347826,0.0652173913043478,0.0652173913043478,0.0434782608695652,D
5648.0,68,28,0,6,1,1,13,1,1,0,0,20,3,1,72,2,1,3,0,49,0.5714285714285714,0.0,0.1224489795918367,0.0204081632653061,0.0204081632653061,0.2653061224489796,A
7500.0,59,6,16,11,11,1,16,1,2,0,3,8,1,1,46,0,0,1,0,61,0.0983606557377049,0.2622950819672131,0.180327868852459,0.180327868852459,0.0163934426229508,0.2622950819672131,D
63033.0,82,194,61,480,225,112,30,1,3,4,8,2,2,0,63,0,0,0,0,1102,0.176043557168784,0.0553539019963702,0.4355716878402904,0.2041742286751361,0.101633393829401,0.0272232304900181,C
59354.0,53,233,2,53,3,5,14,3,6,1,5,6,3,0,70,2,1,2,1,310,0.7516129032258064,0.0064516129032258,0.1709677419354838,0.0096774193548387,0.0161290322580645,0.0451612903225806,B
17323.0,38,3,14,17,6,1,5,1,1,0,3,8,2,1,35,0,0,1,0,46,0.0652173913043478,0.3043478260869565,0.3695652173913043,0.1304347826086956,0.0217391304347826,0.108695652173913,D
82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,3,0,76,0,0,0,0,1315,0.7650190114068441,0.0167300380228136,0.0874524714828897,0.0448669201520912,0.0517110266159695,0.0342205323193916,C
41850.0,51,53,5,19,2,13,4,3,3,0,3,8,2,1,42,2,1,3,0,96,0.5520833333333334,0.0520833333333333,0.1979166666666666,0.0208333333333333,0.1354166666666666,0.0416666666666666,A
37760.0,20,84,5,38,150,12,28,2,4,1,6,7,2,1,76,0,0,1,0,317,0.2649842271293375,0.0157728706624605,0.1198738170347003,0.473186119873817,0.0378548895899053,0.0883280757097791,D
76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,3,1,73,1,1,2,0,1782,0.5679012345679012,0.0448933782267115,0.2794612794612794,0.0,0.0089786756453423,0.0987654320987654,C
33812.0,86,4,17,19,30,24,39,2,2,1,3,6,1,0,37,1,1,1,1,133,0.0300751879699248,0.1278195488721804,0.1428571428571428,0.225563909774436,0.1804511278195488,0.2932330827067669,D
37040.0,41,86,2,73,69,38,48,1,4,2,5,8,2,1,40,0,0,1,0,316,0.2721518987341772,0.0063291139240506,0.2310126582278481,0.2183544303797468,0.120253164556962,0.1518987341772152,D
2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,2,1,43,1,1,2,0,1730,0.0005780346820809,0.0005780346820809,0.9971098265895952,0.0005780346820809,0.0005780346820809,0.0005780346820809,C
