Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,edu_level,not_live_alone,age,num_child,has_child,num_family_member,single_parent,total_spent,PrWines,PrFruits,PrMeatProducts,PrFishProducts,PrSweetProducts,PrGoldProds
58138.0,58,635,88,546,172,88,88,3,8,10,4,7,2,0,65,0,0,0,0,1617,0.39270253555967843,0.05442176870748299,0.33766233766233766,0.10636982065553494,0.05442176870748299,0.05442176870748299
46344.0,38,11,1,6,2,1,6,2,1,1,2,5,2,0,68,2,1,2,1,27,0.4074074074074074,0.037037037037037035,0.2222222222222222,0.07407407407407407,0.037037037037037035,0.2222222222222222
71613.0,26,426,49,127,111,21,42,1,8,2,10,4,2,1,57,0,0,1,0,776,0.5489690721649485,0.06314432989690721,0.163659793814433,0.14304123711340205,0.027061855670103094,0.05412371134020619
26646.0,26,11,4,20,10,3,5,2,2,0,4,6,2,1,38,1,1,2,0,53,0.20754716981132076,0.07547169811320754,0.37735849056603776,0.18867924528301888,0.05660377358490566,0.09433962264150944
58293.0,94,173,43,118,46,27,15,5,5,3,6,5,3,1,41,1,1,2,0,422,0.4099526066350711,0.1018957345971564,0.2796208530805687,0.10900473933649289,0.06398104265402843,0.035545023696682464
62513.0,16,520,42,98,0,42,14,2,6,4,10,6,3,1,55,1,1,2,0,716,0.7262569832402235,0.05865921787709497,0.13687150837988826,0.0,0.05865921787709497,0.019553072625698324
55635.0,34,235,65,164,50,49,27,4,7,3,7,6,2,0,51,1,1,1,1,590,0.3983050847457627,0.11016949152542373,0.27796610169491526,0.0847457627118644,0.08305084745762711,0.04576271186440678
33454.0,32,76,10,56,3,1,23,2,4,0,4,8,3,1,37,1,1,2,0,169,0.44970414201183434,0.05917159763313609,0.33136094674556216,0.01775147928994083,0.005917159763313609,0.13609467455621302
30351.0,19,14,0,24,3,3,2,1,3,0,2,9,3,1,48,1,1,2,0,46,0.30434782608695654,0.0,0.5217391304347826,0.06521739130434782,0.06521739130434782,0.043478260869565216
5648.0,68,28,0,6,1,1,13,1,1,0,0,20,3,1,72,2,1,3,0,49,0.5714285714285714,0.0,0.12244897959183673,0.02040816326530612,0.02040816326530612,0.2653061224489796
7500.0,59,6,16,11,11,1,16,1,2,0,3,8,1,1,46,0,0,1,0,61,0.09836065573770492,0.26229508196721313,0.18032786885245902,0.18032786885245902,0.01639344262295082,0.26229508196721313
63033.0,82,194,61,480,225,112,30,1,3,4,8,2,2,0,63,0,0,0,0,1102,0.17604355716878403,0.05535390199637023,0.4355716878402904,0.20417422867513613,0.10163339382940109,0.02722323049001815
59354.0,53,233,2,53,3,5,14,3,6,1,5,6,3,0,70,2,1,2,1,310,0.7516129032258064,0.0064516129032258064,0.17096774193548386,0.00967741935483871,0.016129032258064516,0.04516129032258064
17323.0,38,3,14,17,6,1,5,1,1,0,3,8,2,1,35,0,0,1,0,46,0.06521739130434782,0.30434782608695654,0.3695652173913043,0.13043478260869565,0.021739130434782608,0.10869565217391304
82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,3,0,76,0,0,0,0,1315,0.7650190114068441,0.016730038022813688,0.08745247148288973,0.044866920152091254,0.05171102661596958,0.034220532319391636
41850.0,51,53,5,19,2,13,4,3,3,0,3,8,2,1,42,2,1,3,0,96,0.5520833333333334,0.052083333333333336,0.19791666666666666,0.020833333333333332,0.13541666666666666,0.041666666666666664
37760.0,20,84,5,38,150,12,28,2,4,1,6,7,2,1,76,0,0,1,0,317,0.26498422712933756,0.015772870662460567,0.11987381703470032,0.47318611987381703,0.03785488958990536,0.08832807570977919
76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,3,1,73,1,1,2,0,1782,0.5679012345679012,0.04489337822671156,0.27946127946127947,0.0,0.008978675645342313,0.09876543209876543
33812.0,86,4,17,19,30,24,39,2,2,1,3,6,1,0,37,1,1,1,1,133,0.03007518796992481,0.12781954887218044,0.14285714285714285,0.22556390977443608,0.18045112781954886,0.2932330827067669
37040.0,41,86,2,73,69,38,48,1,4,2,5,8,2,1,40,0,0,1,0,316,0.2721518987341772,0.006329113924050633,0.2310126582278481,0.21835443037974683,0.12025316455696203,0.1518987341772152
2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,2,1,43,1,1,2,0,1730,0.0005780346820809249,0.0005780346820809249,0.9971098265895953,0.0005780346820809249,0.0005780346820809249,0.0005780346820809249
58607.0,63,867,0,86,0,0,19,3,2,3,9,8,3,1,73,1,1,2,0,972,0.8919753086419753,0.0,0.08847736625514403,0.0,0.0,0.01954732510288066
65324.0,0,384,0,102,21,32,5,3,6,2,9,4,3,1,68,1,1,2,0,544,0.7058823529411765,0.0,0.1875,0.03860294117647059,0.058823529411764705,0.009191176470588236
40689.0,69,270,3,27,39,6,99,7,7,1,5,8,2,1,71,1,1,2,0,444,0.6081081081081081,0.006756756756756757,0.060810810810810814,0.08783783783783784,0.013513513513513514,0.22297297297297297
18589.0,89,6,4,25,15,12,13,2,2,1,3,7,2,0,53,0,0,0,0,75,0.08,0.05333333333333334,0.3333333333333333,0.2,0.16,0.17333333333333334
53359.0,4,173,4,30,3,6,41,4,5,1,4,7,2,1,46,2,1,3,0,257,0.6731517509727627,0.01556420233463035,0.11673151750972763,0.011673151750972763,0.023346303501945526,0.15953307392996108
38360.0,26,36,2,42,20,21,10,2,2,1,4,3,2,1,33,1,1,2,0,131,0.2748091603053435,0.015267175572519083,0.32061068702290074,0.15267175572519084,0.16030534351145037,0.07633587786259542
84618.0,96,684,100,801,21,66,0,1,6,9,10,2,3,1,57,0,0,1,0,1672,0.4090909090909091,0.05980861244019139,0.47906698564593303,0.012559808612440191,0.039473684210526314,0.0
10979.0,34,8,4,10,2,2,4,2,3,0,3,5,3,0,33,0,0,0,0,30,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333
38620.0,56,112,17,44,34,22,89,1,2,5,3,3,3,1,59,0,0,1,0,318,0.3522012578616352,0.05345911949685535,0.13836477987421383,0.1069182389937107,0.06918238993710692,0.279874213836478
40548.0,31,110,0,5,2,0,3,2,2,1,4,5,2,1,52,1,1,2,0,120,0.9166666666666666,0.0,0.041666666666666664,0.016666666666666666,0.0,0.025
46610.0,8,96,12,96,33,22,43,6,4,1,6,6,3,0,70,2,1,2,1,302,0.31788079470198677,0.039735099337748346,0.31788079470198677,0.10927152317880795,0.0728476821192053,0.1423841059602649
68657.0,4,482,34,471,119,68,22,1,3,5,9,7,3,1,76,0,0,1,0,1196,0.40301003344481606,0.028428093645484948,0.39381270903010035,0.09949832775919733,0.056856187290969896,0.01839464882943144
49389.0,55,40,0,19,2,1,3,1,2,0,3,7,3,0,71,2,1,2,1,65,0.6153846153846154,0.0,0.2923076923076923,0.03076923076923077,0.015384615384615385,0.046153846153846156
67353.0,37,702,17,151,0,8,35,5,5,6,12,2,3,1,52,1,1,2,0,913,0.768893756845564,0.018619934282584884,0.16538882803943045,0.0,0.008762322015334063,0.038335158817086525
23718.0,76,6,3,14,15,7,36,3,3,1,2,7,1,1,46,1,1,2,0,81,0.07407407407407407,0.037037037037037035,0.1728395061728395,0.18518518518518517,0.08641975308641975,0.4444444444444444
42429.0,99,55,0,6,2,0,4,2,1,1,3,5,2,0,49,1,1,1,1,67,0.8208955223880597,0.0,0.08955223880597014,0.029850746268656716,0.0,0.05970149253731343
48948.0,53,437,8,206,160,49,42,2,7,10,5,6,3,0,79,0,0,0,0,902,0.4844789356984479,0.008869179600886918,0.22838137472283815,0.17738359201773837,0.05432372505543237,0.04656319290465632
80011.0,3,421,76,536,82,178,102,2,8,6,5,4,2,1,42,1,1,2,0,1395,0.3017921146953405,0.05448028673835126,0.3842293906810036,0.05878136200716846,0.12759856630824373,0.07311827956989247
20559.0,88,13,1,29,3,0,7,2,2,0,3,8,3,1,37,1,1,2,0,53,0.24528301886792453,0.018867924528301886,0.5471698113207547,0.05660377358490566,0.0,0.1320754716981132
21994.0,4,9,0,6,3,1,3,1,0,0,3,5,2,1,65,1,1,2,0,22,0.4090909090909091,0.0,0.2727272727272727,0.13636363636363635,0.045454545454545456,0.13636363636363635
7500.0,19,3,1,10,3,2,12,3,2,0,3,5,3,1,47,1,1,2,0,31,0.0967741935483871,0.03225806451612903,0.3225806451612903,0.0967741935483871,0.06451612903225806,0.3870967741935484
